AÑO,TRIMESTRE,PROVEEDOR,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,CABECERA_MUNICIPAL,COD_CENTRO_POBLADO,CENTRO_POBLADO,COBERTURA_2G,COBERTURA_3G,COBERTURA_HSPA_HSPA_DC,COBERTURA_4G,COBERTURA_LTE,COBERTURA_5G,ESTRATO_PROMEDIO,INGRESO_PROMEDIO_HOGAR,TASA_POBREZA,INDICE_NBI,TASA_DESEMPLEO,TASA_ELECTRIFICACION,PCT_HOGARES_INTERNET,ALTITUD_MSNM,PRECIPITACION_MEDIA,INV_PUBLICA_PER_CAPITA,NOMBRE_PROVEEDOR_COMERCIAL
2017,1,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19785,SUCRE,NO,19785008,LA CEJA,NO,NO,NO,NO,NO,NO,4,1118408,32.32,30.73,19.83,97.43,50.03,2602,3107.0,1266747,CLARO COLOMBIA
2017,2,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23678,SAN CARLOS,NO,23678008,CALLEMAR,SÍ,SÍ,SÍ,NO,NO,NO,3,1268276,26.68,45.82,5.38,95.7,45.26,2934,778.8,1510781,CLARO COLOMBIA
2017,3,COLOMBIA MOVIL  S.A ESP,13,BOLÍVAR,13433,MAHATES,NO,13433004,SAN BASILIO DE PALENQUE,NO,SÍ,SÍ,SÍ,NO,NO,4,2954697,39.02,47.43,8.79,85.47,67.86,22,670.0,1887665,TIGO COLOMBIA
2017,2,AVANTEL S.A.S,50,META,50370,URIBE,SÍ,50370000,URIBE,SÍ,SÍ,SÍ,NO,NO,NO,4,1311411,14.44,24.01,12.8,98.24,31.5,2202,2067.8,688665,AVANTEL
2017,1,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76109,BUENAVENTURA,NO,76109046,JUANCHACO,SÍ,SÍ,SÍ,SÍ,NO,NO,1,3722808,58.08,21.98,12.83,81.95,73.24,1209,2059.7,884627,CLARO COLOMBIA
2017,3,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52001,PASTO,SÍ,52001000,SAN JUAN DE PASTO,SÍ,SÍ,SÍ,SÍ,NO,NO,3,3917172,41.75,47.13,13.83,97.07,60.84,2296,3634.8,678979,CLARO COLOMBIA
2017,3,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25612,RICAURTE,SÍ,25612000,RICAURTE,SÍ,SÍ,SÍ,SÍ,NO,NO,5,1684377,47.74,35.38,16.28,86.56,66.35,748,941.5,1138240,CLARO COLOMBIA
2017,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,76,VALLE DEL CAUCA,76520,PALMIRA,NO,76520008,BOYACÁ,NO,SÍ,SÍ,SÍ,NO,NO,3,5035042,18.52,10.22,14.35,81.08,67.91,804,931.5,1606095,MOVISTAR COLOMBIA
2017,4,PARTNERS TELECOM COLOMBIA SAS,19,CAUCA,19622,ROSAS,SÍ,19622000,ROSAS,NO,SÍ,SÍ,NO,NO,NO,5,2698739,30.47,6.9,14.0,93.39,61.62,133,1016.1,1602631,WOM COLOMBIA
2017,3,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,20001,VALLEDUPAR,NO,20001002,ATANQUEZ,SÍ,SÍ,SÍ,SÍ,NO,NO,1,2029336,31.13,30.41,5.8,84.63,64.95,320,604.1,411207,CLARO COLOMBIA
2017,2,COMUNICACION CELULAR S A COMCEL S A,50,META,50110,BARRANCA DE UPÍA,NO,50110001,SAN IGNACIO,NO,SÍ,SÍ,NO,NO,NO,2,1817433,51.09,46.86,10.65,84.87,71.03,2437,751.1,716070,CLARO COLOMBIA
2017,1,COLOMBIA MOVIL  S.A ESP,5,ANTIOQUIA,5642,SALGAR,SÍ,5642000,SALGAR,SÍ,SÍ,SÍ,SÍ,NO,NO,4,5461029,10.06,42.99,8.48,86.12,75.19,433,2809.5,1932760,TIGO COLOMBIA
2017,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25269,FACATATIVÁ,NO,25269022,SAN ISIDRO,NO,SÍ,NO,SÍ,NO,NO,1,3561089,25.04,35.41,8.98,81.27,73.65,1045,2010.5,178343,MOVISTAR COLOMBIA
2017,3,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15377,LABRANZAGRANDE,SÍ,15377000,LABRANZAGRANDE,SÍ,SÍ,SÍ,SÍ,NO,NO,4,4478086,59.06,11.26,13.32,83.54,82.18,872,3172.6,445215,CLARO COLOMBIA
2017,2,COLOMBIA MOVIL  S.A ESP,70,SUCRE,70001,SINCELEJO,NO,70001007,LA GALLERA,SÍ,SÍ,SÍ,SÍ,NO,NO,2,2381530,33.74,16.44,7.99,80.1,41.37,3196,3974.1,1022996,TIGO COLOMBIA
2017,1,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19001,POPAYÁN,NO,19001039,PARCELACION ATARDECERES DE LA PRADERA,NO,NO,NO,NO,NO,NO,2,5838497,29.13,44.4,9.41,88.91,54.07,3150,2806.6,745687,CLARO COLOMBIA
2017,3,PARTNERS TELECOM COLOMBIA SAS,41,HUILA,41548,PITAL,SÍ,41548000,PITAL,NO,SÍ,SÍ,SÍ,NO,NO,1,2887258,15.99,13.23,8.56,81.69,86.87,2905,676.6,655645,WOM COLOMBIA
2017,4,PARTNERS TELECOM COLOMBIA SAS,13,BOLÍVAR,13430,MAGANGUÉ,SÍ,13430000,MAGANGUÉ,NO,SÍ,SÍ,SÍ,NO,NO,2,5292816,58.71,17.53,19.23,93.65,53.8,2098,866.0,1613630,WOM COLOMBIA
2017,2,COLOMBIA MOVIL  S.A ESP,17,CALDAS,17174,CHINCHINÁ,SÍ,17174000,CHINCHINÁ,NO,SÍ,SÍ,SÍ,NO,NO,5,5656447,11.0,10.83,19.17,84.71,37.49,2223,3583.5,1967322,TIGO COLOMBIA
2017,2,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25596,QUIPILE,SÍ,25596000,QUIPILE,SÍ,SÍ,SÍ,SÍ,NO,NO,2,3549178,46.86,35.42,14.15,98.87,61.53,2917,2346.2,541913,CLARO COLOMBIA
2017,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25307,GIRARDOT,SÍ,25307000,GIRARDOT,SÍ,SÍ,SÍ,SÍ,NO,NO,4,1796530,48.43,47.48,18.87,97.43,36.57,252,3386.9,694571,MOVISTAR COLOMBIA
2017,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,73,TOLIMA,73268,ESPINAL,NO,73268001,CHICORAL,SÍ,SÍ,SÍ,SÍ,NO,NO,4,1571253,22.18,17.1,16.79,85.79,42.17,965,3498.1,159567,MOVISTAR COLOMBIA
2017,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25743,SILVANIA,NO,25743002,AZAFRANAL,SÍ,SÍ,NO,SÍ,NO,NO,4,3401623,43.58,26.39,13.85,95.66,89.9,738,3746.9,409150,MOVISTAR COLOMBIA
2017,2,COLOMBIA MOVIL  S.A ESP,23,CÓRDOBA,23162,CERETÉ,SÍ,23162000,CERETÉ,SÍ,SÍ,SÍ,SÍ,NO,NO,4,2178246,14.65,33.55,5.1,96.06,62.48,1129,3824.4,337778,TIGO COLOMBIA
2017,1,AVANTEL S.A.S,25,CUNDINAMARCA,25841,UBAQUE,SÍ,25841000,UBAQUE,SÍ,SÍ,SÍ,NO,NO,NO,5,4908997,22.85,49.98,16.59,99.73,47.04,1339,2441.9,1290334,AVANTEL
2017,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25377,LA CALERA,NO,25377010,ALTAMAR,SÍ,SÍ,NO,SÍ,NO,NO,3,3703540,49.4,9.72,15.54,91.96,89.69,301,1693.6,1734470,MOVISTAR COLOMBIA
2017,2,COMUNICACION CELULAR S A COMCEL S A,17,CALDAS,17050,ARANZAZU,NO,17050012,LA HONDA,SÍ,SÍ,SÍ,SÍ,NO,NO,1,4164695,53.23,27.44,14.23,81.64,87.99,2595,3866.5,1429611,CLARO COLOMBIA
2017,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,20,CESAR,20517,PAILITAS,NO,20517006,EL BURRO,SÍ,NO,NO,NO,NO,NO,4,4778400,40.42,22.33,16.41,92.94,56.44,1977,2415.9,1593907,MOVISTAR COLOMBIA
2017,2,COLOMBIA MOVIL  S.A ESP,73,TOLIMA,73148,CARMEN DE APICALÁ,SÍ,73148000,CARMEN DE APICALÁ,SÍ,SÍ,SÍ,SÍ,NO,NO,2,5377456,35.34,43.96,12.69,92.5,45.62,2763,724.9,726020,TIGO COLOMBIA
2017,2,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25899,ZIPAQUIRÁ,NO,25899006,PASOANCHO,SÍ,SÍ,SÍ,SÍ,NO,NO,4,5948956,17.97,26.42,15.56,92.77,80.3,2826,2749.7,816079,CLARO COLOMBIA
2017,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,17,CALDAS,17541,PENSILVANIA,SÍ,17541000,PENSILVANIA,NO,NO,NO,NO,NO,NO,2,2991422,13.16,9.99,19.03,86.14,72.94,2315,2556.9,1112968,ETB
2017,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,47,MAGDALENA,47660,SABANAS DE SAN ANGEL,SÍ,47660000,SAN ÁNGEL,SÍ,SÍ,SÍ,SÍ,NO,NO,2,1845482,15.88,33.55,10.64,97.19,71.22,3057,3635.3,1090534,MOVISTAR COLOMBIA
2017,1,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76834,TULUÁ,SÍ,76834001,TULUÁ,SÍ,SÍ,SÍ,NO,SÍ,NO,4,2095302,21.37,39.69,15.62,99.19,83.59,550,2786.2,1054227,CLARO COLOMBIA
2017,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,23,CÓRDOBA,23182,CHINÚ,NO,23182043,BAJO DE PIEDRA,SÍ,NO,NO,NO,NO,NO,5,4802640,27.08,5.13,12.14,84.35,71.37,1478,1721.7,916309,MOVISTAR COLOMBIA
2017,2,AVANTEL S.A.S,41,HUILA,41668,SAN AGUSTÍN,SÍ,41668000,SAN AGUSTÍN,SÍ,SÍ,SÍ,SÍ,NO,NO,2,1370451,29.05,43.65,15.12,81.76,47.03,1315,3881.8,349465,AVANTEL
2017,4,AVANTEL S.A.S,52,NARIÑO,52720,SAPUYES,SÍ,52720000,SAPUYES,SÍ,SÍ,SÍ,NO,NO,NO,2,819816,27.32,13.37,16.44,83.89,71.63,1587,3305.7,324589,AVANTEL
2017,1,COMUNICACION CELULAR S A COMCEL S A,63,QUINDÍO,63190,CIRCASIA,NO,63190020,QUINTAS DEL BOSQUE,SÍ,SÍ,SÍ,SÍ,NO,NO,4,1767344,21.95,29.84,5.68,96.41,48.35,1822,2706.5,638314,CLARO COLOMBIA
2017,3,COLOMBIA MOVIL  S.A ESP,50,META,50226,CUMARAL,NO,50226004,SAN NICOLÁS,NO,NO,NO,SÍ,NO,NO,2,3655059,35.49,23.71,14.7,93.53,75.55,1824,1525.2,1431142,TIGO COLOMBIA
2017,1,PARTNERS TELECOM COLOMBIA SAS,50,META,50287,FUENTE DE ORO,SÍ,50287000,FUENTE DE ORO,NO,SÍ,SÍ,SÍ,NO,NO,2,3212149,51.26,37.38,8.4,92.72,67.18,1164,1807.4,395625,WOM COLOMBIA
2017,3,COMUNICACION CELULAR S A COMCEL S A,17,CALDAS,17001,MANIZALES,NO,17001022,ALTO BONITO,SÍ,SÍ,SÍ,SÍ,NO,NO,4,4152252,23.99,21.7,15.05,88.04,34.64,313,2844.9,733672,CLARO COLOMBIA
2017,3,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47030,ALGARROBO,NO,47030001,BELLA VISTA,SÍ,SÍ,SÍ,NO,NO,NO,4,4532839,57.12,44.14,12.02,91.56,60.77,183,751.9,1401347,CLARO COLOMBIA
2017,1,PARTNERS TELECOM COLOMBIA SAS,52,NARIÑO,52385,LA LLANADA,SÍ,52385000,LA LLANADA,NO,SÍ,SÍ,NO,NO,NO,1,1838896,53.67,37.87,16.6,86.16,50.6,1687,1398.4,158031,WOM COLOMBIA
2017,4,COLOMBIA MOVIL  S.A ESP,76,VALLE DEL CAUCA,76520,PALMIRA,NO,76520025,POTRERILLO,NO,SÍ,SÍ,SÍ,NO,NO,5,4097606,18.09,34.15,6.85,89.54,49.71,712,2998.7,454398,TIGO COLOMBIA
2017,1,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25758,SOPÓ,NO,25758009,GRATAMIRA,SÍ,SÍ,SÍ,SÍ,NO,NO,5,3678604,49.31,40.83,14.39,95.86,66.14,2175,2180.1,692520,CLARO COLOMBIA
2017,1,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19455,MIRANDA,NO,19455005,ORTIGAL,NO,NO,NO,NO,NO,NO,2,4380893,38.73,38.93,9.18,99.62,49.34,1310,1908.4,1815948,CLARO COLOMBIA
2017,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27050,ATRATO,NO,27050006,SAN JOSÉ DE PURRÉ,NO,NO,NO,NO,NO,NO,5,5127858,38.33,6.62,17.79,98.65,76.61,2747,1030.1,442368,CLARO COLOMBIA
2017,2,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23660,SAHAGÚN,NO,23660015,AGUAS VIVAS,SÍ,SÍ,SÍ,NO,NO,NO,2,4756602,29.55,22.76,18.93,98.68,34.25,2433,2046.5,516673,CLARO COLOMBIA
2017,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,54,NORTE DE SANTANDER,54820,TOLEDO,SÍ,54820001,TOLEDO,SÍ,SÍ,NO,NO,NO,NO,1,4896951,35.06,46.89,19.95,88.04,69.62,270,3197.4,563788,MOVISTAR COLOMBIA
2017,1,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23855,VALENCIA,NO,23855016,MANZANARES,SÍ,SÍ,SÍ,NO,NO,NO,4,1064223,29.86,10.66,16.94,89.38,78.55,1794,1424.0,860791,CLARO COLOMBIA
2017,4,AVANTEL S.A.S,73,TOLIMA,73504,ORTEGA,SÍ,73504000,ORTEGA,SÍ,SÍ,SÍ,SÍ,NO,NO,4,4119260,36.99,38.17,16.31,94.11,70.37,810,518.9,1964968,AVANTEL
2017,1,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47245,EL BANCO,NO,47245001,AGUAESTRADA,SÍ,NO,NO,NO,NO,NO,4,3494287,41.4,48.86,8.23,98.44,59.83,2462,2839.8,1119526,CLARO COLOMBIA
2017,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27150,CARMEN DEL DARIÉN,SÍ,27150000,CURBARADÓ,NO,SÍ,NO,SÍ,NO,NO,5,2466471,43.72,7.35,10.04,82.84,87.02,197,3904.2,187695,MOVISTAR COLOMBIA
2017,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,76,VALLE DEL CAUCA,76616,RIOFRÍO,NO,76616009,SALÓNICA,NO,NO,NO,NO,NO,NO,1,5421056,36.62,35.7,11.99,86.08,48.0,1079,2623.9,1278642,ETB
2017,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,73,TOLIMA,73001,IBAGUÉ,NO,73001027,PASTALES NUEVO,SÍ,NO,NO,NO,NO,NO,5,1388365,46.07,26.07,16.6,82.78,31.15,2878,919.7,1287558,MOVISTAR COLOMBIA
2017,2,COMUNICACION CELULAR S A COMCEL S A,95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,NO,95001039,SANTO DOMINGO,SÍ,SÍ,SÍ,SÍ,NO,NO,5,5818994,17.06,31.06,18.72,92.24,55.92,1226,1622.6,1413413,CLARO COLOMBIA
2017,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,52,NARIÑO,52385,LA LLANADA,SÍ,52385000,LA LLANADA,NO,SÍ,SÍ,NO,NO,NO,1,1503662,20.6,8.84,7.84,86.13,31.98,1644,3536.7,1788177,MOVISTAR COLOMBIA
2017,3,COLOMBIA MOVIL  S.A ESP,76,VALLE DEL CAUCA,76520,PALMIRA,NO,76520002,AMAIME,NO,SÍ,SÍ,SÍ,NO,NO,1,2105585,50.94,6.94,18.84,86.52,87.24,627,1314.0,653098,TIGO COLOMBIA
2017,4,COMUNICACION CELULAR S A COMCEL S A,54,NORTE DE SANTANDER,54239,DURANIA,NO,54239007,LAS AGUADAS,SÍ,SÍ,SÍ,SÍ,NO,NO,1,4892097,26.13,35.01,15.43,81.42,42.6,603,2626.9,644380,CLARO COLOMBIA
2017,1,COLOMBIA MOVIL  S.A ESP,13,BOLÍVAR,13442,MARÍA LA BAJA,SÍ,13442000,MARÍA LA BAJA,NO,SÍ,SÍ,SÍ,NO,NO,1,3459440,11.14,42.05,14.16,87.0,77.34,1161,1909.3,1630571,TIGO COLOMBIA
2017,3,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5670,SAN ROQUE,NO,5670003,SAN JOSÉ DEL NUS,SÍ,SÍ,SÍ,NO,NO,NO,4,2399601,17.69,40.19,8.0,97.25,76.47,1445,1227.5,1730969,CLARO COLOMBIA
2017,2,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23079,BUENAVISTA,SÍ,23079000,BUENAVISTA,SÍ,SÍ,SÍ,SÍ,NO,NO,3,4743645,21.18,29.47,5.83,84.66,43.06,1080,3346.9,1834441,CLARO COLOMBIA
2017,2,COMUNICACION CELULAR S A COMCEL S A,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",NO,11001008,SAN JUAN,SÍ,SÍ,SÍ,NO,NO,NO,3,5295013,57.87,9.49,13.53,93.9,67.27,1585,3099.9,1352876,CLARO COLOMBIA
2017,2,COLOMBIA MOVIL  S.A ESP,76,VALLE DEL CAUCA,76233,DAGUA,NO,76233011,EL QUEREMAL,SÍ,SÍ,SÍ,SÍ,NO,NO,1,4851774,38.65,35.96,14.77,92.59,32.88,3057,2815.6,390699,TIGO COLOMBIA
2017,4,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23466,MONTELÍBANO,NO,23466008,PICA PICA,SÍ,NO,NO,NO,NO,NO,3,2034816,56.64,15.88,8.16,97.27,59.01,2118,1327.2,696222,CLARO COLOMBIA
2017,4,PARTNERS TELECOM COLOMBIA SAS,66,RISARALDA,66400,LA VIRGINIA,SÍ,66400000,LA VIRGINIA,NO,SÍ,SÍ,NO,NO,NO,3,2425351,38.76,46.0,13.35,82.65,30.88,910,842.5,1745652,WOM COLOMBIA
2017,3,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23001,MONTERÍA,NO,23001041,ENSENADA DE LA HAMACA,SÍ,SÍ,SÍ,NO,NO,NO,1,2764956,33.97,42.72,17.85,99.55,85.27,593,2516.6,963689,CLARO COLOMBIA
